english,indo,english_matches,indo_matches
this bird has a white superciliary and brown all around its body with a long bill,burung ini memiliki superciliary berwarna putih dan seluruh tubuhnya berwarna coklat dengan paruh yang panjang,['superciliary'],['superciliary']
"a bird with a large black bill with downward curve, white superciliaries and brown plumage.","burung dengan paruh hitam besar dengan lengkungan ke bawah, superciliary putih dan bulu coklat.",['superciliaries'],['superciliary']
a brown bird with white on the supercillary and a brown bill,seekor burung berwarna coklat dengan warna putih pada bagian supercillary dan paruh berwarna coklat,['supercillary'],['supercillary']
this brown water bird has a large and wide bill with a white superciliary and cheek with a longer body and rump.,Burung air berwarna coklat ini mempunyai paruh yang besar dan lebar dengan superciliary dan pipi berwarna putih dengan badan dan pantat yang lebih panjang.,['superciliary'],['superciliary']
"this bird has a large curved bill, a white belly, and a white superciliary.","burung ini memiliki paruh besar yang melengkung, perut berwarna putih, dan superciliary berwarna putih.",['superciliary'],['superciliary']
"mostly brownish grey with white streaks on its primaries, and a white superciliary.","sebagian besar berwarna abu-abu kecoklatan dengan garis-garis putih pada bagian primernya, dan superciliary berwarna putih.",['superciliary'],['superciliary']
"a bird with a large, hooked bill, white superciliary and cheek patch, brown crown, and brown body.","burung dengan paruh besar bengkok, superciliary dan pipi berwarna putih, mahkota berwarna coklat, dan badan berwarna coklat.",['superciliary'],['superciliary']
"this white gull has stark black superciliary areas and a long, hooked, faded yellow beak.","camar putih ini memiliki area superciliary berwarna hitam pekat dan paruh kuning yang panjang, bengkok, dan pudar.",['superciliary'],['superciliary']
"the bird has a long, straight bill, a black supercillary, and a grey body.","burung ini memiliki paruh yang panjang dan lurus, superciliary berwarna hitam, dan tubuh berwarna abu-abu.",['supercillary'],['superciliary']
"the bird has a grey colored abdomen, breast and side, with white eyering and black to grey coverts.","burung ini memiliki perut, dada, dan samping berwarna abu-abu, dengan superciliary berwarna putih dan bulu berwarna hitam hingga abu-abu.",[],['superciliary']
"a bird with a short rounded orange bill, stark whtie eye with white brown, and feathered point coming off its superciliary.","seekor burung dengan paruh pendek berwarna oranye, bulat, mata tajam dengan warna coklat putih, dan ujung berbulu keluar dari superciliarynya.",['superciliary'],['superciliarynya']
"this magnificent specimen is mostly brown, with a white superciliary and large plumes on top of it's bill.","spesimen luar biasa ini sebagian besar berwarna coklat, dengan superciliary putih dan besar di atas paruhnya.",['superciliary'],['superciliary']
"this bird is mostly gray, with a short orange bill and white superciliary.","burung ini sebagian besar berwarna abu-abu, dengan paruh pendek berwarna oranye dan superciliary berwarna putih.",['superciliary'],['superciliary']
this bird is nearly all gray with the exception of white superciliaries and a large blunt orange bill.,burung ini hampir seluruhnya berwarna abu-abu kecuali superciliary berwarna putih dan paruh besar berwarna oranye tumpul.,['superciliaries'],['superciliary']
"this bird is nearly all gray with a white superciliary, with large plumes on its short blunt bill.","burung ini hampir seluruhnya berwarna abu-abu dengan superciliary berwarna putih, dengan bulu-bulu besar pada paruhnya yang pendek dan tumpul.",['superciliary'],['superciliary']
"an orange billed bird with a long hairy crown and white superciliary and wild white eyes, the rest is black.","burung berparuh jingga dengan mahkota berbulu panjang dan superciliary berwarna putih serta mata putih liar, selebihnya berwarna hitam.",['superciliary'],['superciliary']
this bird is dark gray with a bright orange bill and white superciliary.,burung ini berwarna abu-abu tua dengan paruh berwarna jingga cerah dan superciliary berwarna putih.,['superciliary'],['superciliary']
"a bird with a snubbed, rounded orange bill, stark white eyes, webbed feet, and feathered superciliary.","seekor burung dengan paruh oranye bulat dan pesek, mata putih tajam, kaki berselaput, dan superciliary.",['superciliary'],['superciliary']
this bird is almost all light gray with a white superciliary and an orange beak.,burung ini hampir semuanya berwarna abu-abu muda dengan superciliary berwarna putih dan paruh berwarna oranye.,['superciliary'],['superciliary']
"this bird has a dark grey body, brightly colored blunt thick bill, and a white superciliary.","Burung ini mempunyai tubuh berwarna abu-abu tua, paruh tebal tumpul berwarna cerah, dan superciliary berwarna putih.",['superciliary'],['superciliary']
"black back, wings, neck, nape, crown, and feet. with white spotted breast. white streaks on eyebrows and superciliary","punggung, sayap, leher, tengkuk, ubun-ubun, dan kaki berwarna hitam. dengan dada berbintik putih. garis-garis putih pada alis dan alis",['superciliary'],[]
"black back, nape, crown, and feet. mostly white belly and breast with black spots. white eyes with white streaks on superciliary.","punggung, tengkuk, ubun-ubun, dan kaki berwarna hitam. sebagian besar perut dan dada berwarna putih dengan bintik-bintik hitam. mata putih dengan garis-garis putih pada superciliary.",['superciliary'],['superciliary']
"this bird has a white with gray speckled appearance on its belly and breast, with gray crown and white superciliary.","Burung ini mempunyai ciri-ciri berwarna putih dengan bintik-bintik abu-abu pada perut dan dadanya, dengan mahkota berwarna abu-abu dan superciliary berwarna putih.",['superciliary'],['superciliary']
bird with a black back and white belly with a distinctive white superciliary.,burung dengan punggung hitam dan perut putih dengan superciliary khas berwarna putih.,['superciliary'],['superciliary']
"pretty bird with a round orange bill, a white eye and white superciliary, a white throat, chest and belly, and a black head.","burung cantik dengan paruh bulat berwarna jingga, mata putih dan superciliary putih, tenggorokan putih, dada dan perut, serta kepala hitam.",['superciliary'],['superciliary']
"this bird has a black crown, a white superciliary, and a short orange bill","burung ini mempunyai mahkota berwarna hitam, superciliary berwarna putih, dan paruh pendek berwarna jingga",['superciliary'],['superciliary']
"this bird has a white with gray speckles breast and belly, with a gray crown, white superciliary, and short orange bill.","Burung ini memiliki dada dan perut berwarna putih berbintik abu-abu, mahkota berwarna abu-abu, superciliary berwarna putih, dan paruh pendek berwarna jingga.",['superciliary'],['superciliary']
"this bird has a white belly and breast, black wings and head, and a white striped superciliary.","burung ini memiliki perut dan dada berwarna putih, sayap dan kepala berwarna hitam, serta superciliary bergaris putih.",['superciliary'],['superciliary']
"this bird has a black crown, an orange bill, and a white superciliary.","burung ini mempunyai mahkota berwarna hitam, paruh berwarna jingga, dan superciliary berwarna putih.",['superciliary'],['superciliary']
an orange billed bird with a white superciliary and a white belly with black neck.,burung berparuh oranye dengan superciliary putih dan perut putih dengan leher hitam.,['superciliary'],['superciliary']
"a large, stout, thick bill with white eyering and supercillary from the eye to the nape of white against charcoal black with a white breast to flank.","paruh besar, kokoh, tebal dengan mata berwarna putih dan supercillary dari cincin mata hingga tengkuk berwarna putih dengan warna hitam arang dengan dada berwarna putih di sisinya.",['supercillary'],['supercillary']
"a stubby orange billed bird with a white eyering and supercillary, white belly with black overcoat and wings, and large flat paddle-like feet.","seekor burung berparuh oranye gemuk dengan cincin mata putih dan supercillary, perut putih dengan mantel dan sayap hitam, dan kaki besar seperti dayung datar.",['supercillary'],['supercillary']
"this bird has a long neck, thick blunt bill, and white superciliary.","burung ini mempunyai leher panjang, paruh tumpul tebal, dan superciliary berwarna putih.",['superciliary'],['superciliary']
"this bird has a large orange bill,a white belly, a brown & black side, and a white superciliary.","burung ini mempunyai paruh besar berwarna jingga, perut berwarna putih, bagian samping berwarna coklat & hitam, dan superciliary berwarna putih.",['superciliary'],['superciliary']
"this bird has a yellow bill, dark grey crown with white superciliary and cheek patch, dark primaries and secondaries","burung ini mempunyai paruh berwarna kuning, mahkota berwarna abu-abu tua dengan superciliary dan penutup pipi berwarna putih, bulu primer dan bulu sekunder berwarna gelap",['superciliary'],['superciliary']
this bird has a long wide beak and feathers over the eyes like lashes.,burung ini mempunyai paruh yang panjang dan lebar serta bulu di atas matanya seperti superciliary.,[],['superciliary']
"a medium-sized black bird with a white superciliary, white malar stripe, and small orange beak","burung hitam berukuran sedang dengan superciliary putih, garis malar putih, dan paruh kecil berwarna oranye",['superciliary'],['superciliary']
"a bird with a large rounded orange bill with white point near the superciliary, webbed feet, and white eyebrow","burung dengan paruh besar berwarna jingga, bulat, dengan titik putih di dekat alis, kaki berselaput, dan alis berwarna putih",['superciliary'],[]
this gray bird has a yellow beak that curves downward and white eyelashes.,burung berwarna abu-abu ini memiliki paruh berwarna kuning yang melengkung ke bawah dan superciliary berwarna putih.,[],['superciliary']
"this bird has a short, orange bill and white primaries. the bird has a white superciliary and is carrying a small fish.",burung ini memiliki paruh pendek berwarna oranye dan bulu primer berwarna putih. burung itu memiliki superciliary berwarna putih dan sedang membawa seekor ikan kecil.,['superciliary'],['superciliary']
this particular bird has black superiors and a large orange bill,burung ini memiliki atasan berwarna hitam dan paruh besar berwarna oranye,['superiors'],[]
a bird with a very large orange bill which has a protrusion near the superciliary and brown covering its body.,burung dengan paruh berwarna jingga yang sangat besar yang memiliki tonjolan di dekat alis dan berwarna coklat menutupi tubuhnya.,['superciliary'],[]
this bird is black all over but has very distinct white eyerings.,burung ini seluruhnya berwarna hitam tetapi memiliki superciliary putih yang sangat jelas.,[],['superciliary']
"this bird has a dirty brown crown, with a dark superciliary, and blueish black coverts.","burung ini mempunyai mahkota berwarna coklat kotor, superciliary berwarna gelap, dan bulu berwarna hitam kebiruan.",['superciliary'],['superciliary']
this bird has a gray mottled appearance with a black superciliary and pointy bill.,burung ini berpenampilan belang-belang abu-abu dengan paruh berwarna hitam dan paruh runcing.,['superciliary'],[]
this is a medium sized bird with a light superciliary that is mostly dark grey in color. there is a mild red brown hue in the breast and nape.,ini adalah burung berukuran sedang dengan superciliary terang yang sebagian besar berwarna abu-abu tua. terdapat rona merah coklat muda di bagian dada dan tengkuk.,['superciliary'],['superciliary']
"a small to medium sized bird with reddish brown wings and head, golden brown superciliary, and a dark gray tail.","burung berukuran kecil hingga sedang dengan sayap dan kepala berwarna coklat kemerahan, superciliary berwarna coklat keemasan, dan ekor berwarna abu-abu tua.",['superciliary'],['superciliary']
the small black bird has yellow eyeing and red spotted coverts.,burung hitam kecil memiliki superciliary kuning dan bulu berbintik merah.,[],['superciliary']
"this bird has a reddish brown crown and eyebrow, the superciliary is tan.","burung ini mempunyai mahkota dan alis berwarna coklat kemerahan, superciliary berwarna coklat kemerahan.",['superciliary'],['superciliary']
a bird with a yellow head and breast and a black superciliary.,seekor burung dengan kepala dan dada berwarna kuning dan superciliary berwarna hitam.,['superciliary'],['superciliary']
"a large black bird with a broad spread of outer rectrices tail wing and a striking orange cloak-like crown, superciliary and throat.","seekor burung hitam besar dengan sayap ekor rectrices bagian luar yang tersebar luas dan mahkota, superciliary, dan tenggorokan seperti jubah berwarna oranye yang mencolok.",['superciliary'],['superciliary']
"this little bird has a yellow nck, black superciliary, and a little sharp bill.","Burung kecil ini mempunyai leher berwarna kuning, superciliary berwarna hitam, dan paruh agak runcing.",['superciliary'],['superciliary']
a small bird that is entirely blue except for it's white bill and black superciliary markings.,burung kecil yang seluruhnya berwarna biru kecuali paruhnya berwarna putih dan tanda superciliary berwarna hitam.,['superciliary'],['superciliary']
this bird is bright blue with a black superciliary.,burung ini berwarna biru cerah dengan superciliary berwarna hitam.,['superciliary'],['superciliary']
this little guy is mostly blue with a black superciliary and short pointy bill.,makhluk kecil ini sebagian besar berwarna biru dengan alis hitam dan paruh runcing pendek.,['superciliary'],[]
