Kata/Kalimat	Keterangan	Tindakan
abodomen	Typo → abdomen (Latin, anatomi)	✅ Pertahankan sebagai abdomen
aquamarine	Warna biru laut/pirus (Latin basis, deskriptif)	🔵 Bisa diterjemahkan biru laut atau aquamarine
auburn	Warna cokelat kemerahan	🔵 Terjemahkan: cokelat kemerahan
auklet	Nama burung (Ilmiah)	✅ Pertahankan auklet
avian	Terkait burung (Latin: avis)	🔵 Bisa diterjemahkan burung
water fowl	Burung air	🔵 Terjemahkan: burung air
backquoise	Typo → back turquoise	⚠️ Perbaiki: punggung biru pirus
balck	Typo → black	⚠️ Perbaiki: hitam
neck band	Ikat leher/cincin leher	🔵 Terjemahkan: ikat leher
wing-bars	Garis/belang pada sayap	🔵 Terjemahkan: belang sayap
gray mottled	Abu-abu belang	🔵 Terjemahkan: abu-abu belang
blue crowned bird	Burung bermakota biru	🔵 Terjemahkan: burung bermakota biru
webbed	Berselaput (pada kaki)	🔵 Terjemahkan: berselaput
ambered color	Warna kekuningan amber	🔵 Terjemahkan: warna kuning kecokelatan
a blade of beige straw	Sehelai jerami krem	🔵 Terjemahkan: sehelai jerami krem
flustered	Gugup	🔵 Terjemahkan: gugup
a metallic blue-purple	Biru-ungu metalik	🔵 Terjemahkan: biru-ungu metalik
brast	Typo → breast (dada)	⚠️ Perbaiki: dada
powdered	Berbubuk	🔵 Terjemahkan: berbubuk
buff	Krem/kuning pucat	🔵 Terjemahkan: krem
supercilliary	Typo → superciliary (alur alis burung, ilmiah)	✅ Pertahankan superciliary
short stout bird	Burung pendek dan kekar	🔵 Terjemahkan: burung pendek dan kekar
chartreuse eyering	Cincin mata hijau kekuningan	🔵 Terjemahkan: cincin mata hijau kekuningan
ring	Cincin	🔵 Terjemahkan: cincin
brown	Cokelat	🔵 Terjemahkan: cokelat
predominant covart	Typo → predominant covert (penutup bulu dominan)	⚠️ Perbaiki: penutup bulu dominan
light creme	Krem terang	🔵 Terjemahkan: krem terang
curven	Typo → curved	⚠️ Perbaiki: melengkung
and white converts with black and white wingbars	Typo → mungkin maksudnya "white coverts" (penutup bulu putih)	⚠️ Perbaiki: penutup bulu putih dengan belang sayap hitam-putih
base	Dasar	🔵 Terjemahkan: dasar
flat	Datar	🔵 Terjemahkan: datar
with black feath	Typo → black feathers (bulu hitam)	⚠️ Perbaiki: dengan bulu hitam
billed	Memiliki paruh	🔵 Terjemahkan: berparuh
dopey	Bodoh (kasual)	🔵 Terjemahkan: bodoh (atau lamban, tergantung konteks)
dorsal	Bagian atas/punggung (Latin)	🔵 Terjemahkan: punggung
dot	Titik	🔵 Terjemahkan: titik
dove	Merpati	🔵 Terjemahkan: merpati
down-clated	Typo → down-clad (berlapis bulu halus)	⚠️ Perbaiki: berlapis bulu halus
edge	Tepi	🔵 Terjemahkan: tepi
edging	Pinggiran	🔵 Terjemahkan: pinggiran
eightestripe	Typo → mungkin maksudnya eight-stripe (delapan garis)	⚠️ Perbaiki: delapan garis
expansive	Luas	🔵 Terjemahkan: luas
eksterior	Harusnya exterior (luar)	🔵 Terjemahkan: bagian luar
eyerings	Cincin mata	🔵 Terjemahkan: cincin mata
feat webbed	Typo → feet webbed (kaki berselaput)	⚠️ Perbaiki: kaki berselaput
flecks of yellow in its wings	Bintik kuning di sayap	🔵 Terjemahkan: bintik kuning di sayapnya
forward facing feathers	Bulu menghadap ke depan	🔵 Terjemahkan: bulu menghadap depan
fuzzy	Berbulu halus	🔵 Terjemahkan: berbulu halus
malar stripe	Garis malar (area pipi bawah)	🔵 Terjemahkan: garis malar
a white malar stripe	Garis malar putih	🔵 Terjemahkan: garis malar putih
gull	Burung camar	🔵 Terjemahkan: camar
jet black anteriorly	Hitam legam di bagian depan	🔵 Terjemahkan: hitam legam di bagian depan
light purplish feet	Kaki ungu muda	🔵 Terjemahkan: kaki ungu muda
rectrices	Bulu ekor (Latin)	✅ Pertahankan rectrices
inner rectrices	Bulu ekor dalam	✅ Pertahankan inner rectrices
retrices	Typo → rectrices	⚠️ Perbaiki: tetap rectrices
particular	Khusus	🔵 Terjemahkan: khusus
cream	Warna krem	🔵 Terjemahkan: krem
curved	Melengkung	🔵 Terjemahkan: melengkung
yellow crest	Jambul kuning	🔵 Terjemahkan: jambul kuning
a black coat	Mantel hitam	🔵 Terjemahkan: mantel hitam
a motley of brown	Campuran cokelat belang	🔵 Terjemahkan: belang cokelat
light	Terang/ringan	🔵 Terjemahkan: terang
orange	Jingga	🔵 Terjemahkan: jingga
ovular	Bentuk oval	🔵 Terjemahkan: oval
solid	Padat	🔵 Terjemahkan: padat
beige beak	Paruh krem	🔵 Terjemahkan: paruh krem
rounded beak	Paruh membulat	🔵 Terjemahkan: paruh membulat
dull beak	Paruh kusam	🔵 Terjemahkan: paruh kusam
silver bill	Paruh perak	🔵 Terjemahkan: paruh perak
a white-ish beak	Paruh agak putih	🔵 Terjemahkan: paruh agak putih
a wedge-like beak	Paruh seperti baji	🔵 Terjemahkan: paruh berbentuk baji
short beak	Paruh pendek	🔵 Terjemahkan: paruh pendek
a snub bill	Paruh pendek-membundak	🔵 Terjemahkan: paruh pesek
blunted beak	Paruh tumpul	🔵 Terjemahkan: paruh tumpul
crocked beak	Typo → crooked beak (paruh bengkok)	⚠️ Perbaiki: paruh bengkok
hooked bill	Paruh melengkung	🔵 Terjemahkan: paruh melengkung
cheek patch	Tambalan pipi	🔵 Terjemahkan: tambalan pipi
breast	Dada	🔵 Terjemahkan: dada
puffy breast	Dada menggembung	🔵 Terjemahkan: dada menggembung
a peppering of orange hues around its' face	Taburan warna jingga di wajah	🔵 Terjemahkan: taburan warna jingga di sekitar wajah
brown primaries	Bulu primer cokelat	🔵 Terjemahkan: bulu primer cokelat
coverts	Bulu penutup	🔵 Terjemahkan: bulu penutup
belly and side and reddish black primaries and secondaries	Perut dan sisi, serta bulu primer dan sekunder merah kehitaman	🔵 Terjemahkan: perut dan sisi, serta bulu primer dan sekunder merah kehitaman
off-brown belly	Perut cokelat pudar	🔵 Terjemahkan: perut cokelat pudar
turquoise	Pirus	🔵 Terjemahkan: pirus
black primaries and secondaries	Bulu primer dan sekunder hitam	🔵 Terjemahkan: bulu primer dan sekunder hitam
darker primaries	Bulu primer lebih gelap	🔵 Terjemahkan: bulu primer lebih gelap
outer rectrices	Bulu ekor luar	✅ Pertahankan outer rectrices
span	Rentang	🔵 Terjemahkan: rentang
inner retrices	Typo → inner rectrices	⚠️ Perbaiki: inner rectrices
outer retrices	Typo → outer rectrices	⚠️ Perbaiki: outer rectrices
rotund	Bulat	🔵 Terjemahkan: bulat
pointy	Runcing	🔵 Terjemahkan: runcing
a striped wing	Sayap bergaris	🔵 Terjemahkan: sayap bergaris
expansive wingspan	Rentang sayap luas	🔵 Terjemahkan: rentang sayap luas
brown secondaries	Bulu sekunder cokelat	🔵 Terjemahkan: bulu sekunder cokelat
uppertail coverts	Penutup ekor atas	🔵 Terjemahkan: penutup ekor atas
rufous sides	Sisi berwarna merah bata	🔵 Terjemahkan: sisi merah bata
white striations	Garis putih	🔵 Terjemahkan: garis putih
strip	Garis	🔵 Terjemahkan: garis
black bleak	Typo → black beak (paruh hitam)	⚠️ Perbaiki: paruh hitam
bill	Paruh	🔵 Terjemahkan: paruh
long peach bill	Paruh panjang warna persik	🔵 Terjemahkan: paruh panjang warna persik
patch	Tambalan	🔵 Terjemahkan: tambalan
thick and seed eating	Tebal dan pemakan biji	🔵 Terjemahkan: tebal dan pemakan biji
brown throat	Tenggorokan cokelat	🔵 Terjemahkan: tenggorokan cokelat
nape	Tengkuk	🔵 Terjemahkan: tengkuk
black trim	Pinggiran hitam	🔵 Terjemahkan: pinggiran hitam
